team,year,ncaa_wins,ncaa_loss,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating
North Carolina,1991,"Northeastern, Villanova, Eastern Michigan, Temple",Kansas,87.6,71.6,26.9,10.9,32.4,64.5,0.502,26.9,50.7,0.531,5.5,13.8,0.398,17.3,24.7,0.701,,,41.6,20.0,9.0,4.2,16.2,16.4,,
Syracuse,1991,,Richmond,83.8,74.4,17.43,8.3,31.3,65.2,0.481,26.8,52.2,0.513,4.6,13.0,0.353,16.5,25.6,0.645,,,41.7,17.8,10.1,5.6,15.2,20.1,,
Oklahoma State,1991,"New Mexico, NC State",Temple,79.7,66.2,21.17,7.71,28.6,57.5,0.497,24.5,47.8,0.513,4.1,9.8,0.42,18.4,27.0,0.681,,,37.0,17.0,7.8,3.8,14.4,18.7,,
UCLA,1991,,Penn State,92.3,81.4,19.98,9.11,33.7,65.2,0.517,28.8,51.0,0.565,4.9,14.1,0.345,20.1,27.2,0.739,,,38.2,19.8,7.8,5.1,14.4,18.9,,
Mississippi State,1991,,Eastern Michigan,80.8,74.9,12.87,7.04,29.6,61.7,0.48,25.0,48.1,0.521,4.6,13.6,0.337,16.9,24.3,0.697,,,38.1,17.7,8.0,2.4,15.9,20.1,,
NC State,1991,Southern Mississippi,Oklahoma State,89.3,83.5,15.21,9.34,32.0,66.0,0.486,23.4,45.2,0.518,8.6,20.8,0.415,16.6,21.8,0.762,,,36.9,19.4,7.3,3.8,13.0,15.5,,
Purdue,1991,,Temple,69.3,66.3,11.87,8.87,24.3,51.2,0.474,18.6,36.7,0.507,5.7,14.6,0.393,14.9,21.9,0.681,,,32.5,16.4,5.0,2.8,15.5,17.7,,
Princeton,1991,,Villanova,62.4,48.9,8.39,-4.19,21.3,41.2,0.516,12.9,21.5,0.6,8.4,19.7,0.425,11.5,16.0,0.719,,,22.9,13.7,7.3,2.3,,16.2,,
Villanova,1991,Princeton,North Carolina,72.9,72.8,12.44,12.29,24.8,55.5,0.447,19.3,40.0,0.482,5.5,15.4,0.356,17.8,24.4,0.729,,,34.6,13.9,7.5,3.1,17.1,22.3,,
Temple,1991,"Purdue, Richmond, Oklahoma State",North Carolina,70.0,64.0,12.61,6.37,24.9,56.4,0.44,18.6,39.7,0.47,6.2,16.8,0.37,14.1,20.5,0.685,,,33.2,11.4,8.2,3.7,9.6,15.2,,
Southern Miss,1991,,NC State,84.0,78.9,7.39,3.39,30.6,61.9,0.493,24.9,47.9,0.52,5.6,14.0,0.401,17.2,24.0,0.718,,,39.7,16.9,5.5,4.7,14.9,14.7,,
Eastern Michigan,1991,"Mississippi State, Penn State",North Carolina,77.9,67.6,9.89,0.5,27.9,54.2,0.514,22.8,41.1,0.554,5.1,13.2,0.389,17.0,23.4,0.727,,,34.8,18.2,8.0,2.6,15.4,16.8,,
Penn State,1991,UCLA,Eastern Michigan,74.2,69.0,8.93,3.68,25.6,56.0,0.457,22.7,47.3,0.479,2.9,8.7,0.337,20.1,26.5,0.759,,,36.4,15.3,7.8,1.6,13.2,17.2,,
New Mexico,1991,,Oklahoma State,76.9,70.5,8.14,2.42,28.9,54.8,0.528,24.5,43.3,0.565,4.5,11.5,0.388,14.6,21.3,0.685,,,34.9,18.8,7.6,4.7,15.0,16.6,,
Richmond,1991,Syracuse,Temple,72.1,67.8,2.14,-1.38,26.8,56.1,0.477,22.4,44.7,0.502,4.3,11.4,0.38,14.2,20.2,0.705,,,34.1,14.5,6.8,2.4,14.2,19.6,,
Northeastern,1991,,North Carolina,77.0,73.4,-0.57,-4.2,28.4,62.4,0.456,25.8,54.1,0.476,2.6,8.2,0.32,17.5,25.2,0.695,,,43.5,15.0,9.6,3.6,17.5,21.3,,
