team,year,conference,seed,wins,losses,win_pct,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating,ncaa_wins,ncaa_loss
Montana State,2024,Big Sky,16,17,17,0.5,75.3,74.5,-5.33,-4.46,26.9,57.5,0.468,17.8,32.8,0.541,9.1,24.7,0.37,12.4,17.0,0.728,6.8,23.7,30.5,13.2,8.3,2.4,11.7,18.5,106.4,105.3,,Grambling
Saint Peter's,2024,MAAC,15,19,13,0.594,64.8,64.0,-4.58,-5.33,21.8,55.5,0.393,16.0,37.6,0.426,5.8,17.9,0.325,15.4,21.6,0.712,12.5,22.7,35.2,10.6,7.1,4.2,12.5,19.4,98.8,97.5,,Tennessee
Akron,2024,MAC,14,24,10,0.706,73.6,66.2,2.77,-2.08,26.1,57.7,0.453,18.1,33.0,0.55,8.0,24.7,0.324,13.3,18.3,0.727,10.4,26.1,36.5,13.0,5.6,2.9,11.3,16.7,109.6,98.5,,Creighton
Samford,2024,Southern,13,29,5,0.853,86.1,74.5,6.32,-3.23,30.1,61.5,0.49,20.1,36.1,0.557,10.0,25.4,0.395,15.8,21.9,0.723,10.6,25.2,35.8,17.7,9.9,3.7,13.0,19.1,115.7,100.1,,Kansas
McNeese,2024,Southland,12,30,3,0.909,80.0,62.2,6.42,-6.81,28.6,58.7,0.487,21.1,39.0,0.54,7.6,19.7,0.383,15.2,21.9,0.693,11.2,24.8,36.1,14.9,10.3,3.4,9.7,17.3,118.3,92.1,,Gonzaga
Oregon,2024,Pac-12,11,23,11,0.676,75.6,72.3,12.22,8.91,27.3,59.6,0.458,20.0,38.0,0.526,7.3,21.6,0.338,13.7,19.1,0.719,9.9,24.5,34.4,13.8,7.2,3.6,10.2,16.4,109.6,104.8,South Carolina,Creighton
Virginia,2024,ACC,10,23,10,0.697,62.9,59.8,10.45,7.31,23.8,55.5,0.428,17.3,37.4,0.462,6.5,18.1,0.358,8.9,14.0,0.637,8.8,23.8,32.6,15.0,7.0,5.0,8.1,13.5,101.7,96.6,,Colorado State
TCU,2024,Big 12,9,21,12,0.636,79.0,71.7,14.62,7.32,28.4,61.4,0.461,21.8,42.9,0.508,6.6,18.6,0.354,15.7,21.5,0.731,12.7,24.4,37.1,16.9,9.0,3.8,12.9,17.4,110.3,100.2,,Utah State
Utah State,2024,Mountain West,8,27,6,0.818,79.7,71.3,11.56,5.29,28.5,58.2,0.491,22.1,38.8,0.569,6.5,19.4,0.333,16.1,22.4,0.72,9.5,26.3,35.8,16.3,6.8,4.2,11.0,17.0,113.4,101.5,TCU,Purdue
Texas,2024,Big 12,7,20,12,0.625,75.4,68.9,15.9,9.4,27.4,58.5,0.469,20.2,38.1,0.53,7.2,20.3,0.355,13.4,17.6,0.757,10.0,24.7,34.7,15.1,7.2,4.4,11.6,17.3,110.1,100.6,Colorado State,Tennessee
