year,teamA,teamB,winner,diff_seed,diff_win_pct,diff_ps_per_game,diff_pa_per_game,diff_srs,diff_sos,diff_fg_per_game,diff_fga_per_game,diff_fg_pct,diff_fg2_per_game,diff_fg2a_per_game,diff_fg2_pct,diff_fg3_per_game,diff_fg3a_per_game,diff_fg3_pct,diff_ft_per_game,diff_fta_per_game,diff_ft_pct,diff_orb_per_game,diff_drb_per_game,diff_trb_per_game,diff_ast_per_game,diff_stl_per_game,diff_blk_per_game,diff_tov_per_game,diff_pf_per_game,diff_offensive_rating,diff_defensive_rating
2024,oregon,south carolina,1,5,-0.112,3.5,4.7,1.24,2.43,1.9,1.7,0.019,2.6,3.9,0.017,-0.8,-2.2,-0.001,0.6,0.7,0.008,-1.5,0.3,-1.2,-1.6,2.4,0.4,0.1,0.2,-0.8,1.3
2024,tcu,utah state,0,1,-0.182,-0.7,0.4,3.06,2.03,-0.1,3.2,-0.03,-0.3,4.1,-0.061,0.1,-0.8,0.021,-0.4,-0.9,0.011,3.2,-1.9,1.3,0.6,2.2,-0.4,1.9,0.4,-3.1,-1.3
2024,texas,colorado state,1,-3,-0.069,0.2,1.6,2.5,2.12,0.2,2.3,-0.015,0.3,3.6,-0.046,-0.1,-1.4,0.017,0.0,-0.2,0.005,2.1,-0.9,1.3,-2.9,0.9,1.3,1.2,0.3,-1.8,0.4
2024,mcneese,gonzaga,0,7,0.128,-4.5,-6.9,-11.51,-10.83,-3.4,-3.1,-0.031,-4.0,-3.5,-0.049,0.7,0.4,0.022,1.6,3.0,-0.028,0.4,-3.1,-2.6,-1.8,3.6,-0.5,-0.1,1.7,-2.8,-7.0
2024,kansas,gonzaga,0,-1,-0.093,-8.9,0.8,-1.58,7.3,-3.8,-3.9,-0.03,-2.6,-1.9,-0.035,-1.2,-2.0,-0.029,-0.2,-0.4,-0.0,-2.6,-0.0,-2.6,2.3,0.4,-0.0,1.9,-0.8,-13.4,0.5
2024,samford,kansas,0,9,0.165,10.5,4.6,-10.03,-14.55,1.9,3.6,0.002,-2.4,-4.5,0.003,4.3,8.1,0.063,2.4,3.4,0.002,2.4,-2.7,-0.3,-1.3,2.8,-0.2,1.3,4.3,8.0,0.5
2024,akron,creighton,0,11,-0.013,-6.8,-3.7,-17.3,-11.61,-2.9,-2.3,-0.031,-0.2,2.1,-0.042,-2.7,-4.4,-0.044,1.6,3.5,-0.061,2.0,-3.6,-1.6,-3.8,1.8,-1.2,0.7,5.2,-6.6,-2.4
2024,oregon,creighton,0,8,-0.043,-4.8,2.4,-7.85,-0.62,-1.7,-0.4,-0.026,1.7,7.1,-0.066,-3.4,-7.5,-0.03,2.0,4.3,-0.069,1.5,-5.2,-3.7,-3.0,3.4,-0.5,-0.4,4.9,-6.6,3.9
2024,saint peters,tennessee,0,13,-0.156,-14.0,-3.4,-26.39,-15.75,-5.4,-6.3,-0.047,-2.4,1.3,-0.082,-3.0,-7.5,-0.019,-0.2,0.8,-0.039,0.9,-4.4,-3.5,-6.1,-0.7,-0.4,2.3,1.9,-13.3,1.6
2024,tennessee,texas,1,-5,0.125,3.4,-1.5,5.91,1.02,-0.2,3.3,-0.029,-1.8,-1.8,-0.022,1.6,5.1,-0.011,2.2,3.2,-0.006,1.6,2.4,4.0,1.6,0.6,0.2,-1.4,0.2,2.0,-4.7
2024,creighton,tennessee,0,1,-0.031,1.6,2.5,-1.74,-0.89,1.8,-1.8,0.044,-0.1,-5.4,0.084,1.9,3.7,0.024,-3.9,-6.0,0.037,-3.2,2.6,-0.6,0.1,-4.0,-0.5,0.4,-6.0,4.1,5.0
2024,purdue,grambling,1,-15,0.296,14.6,-0.6,34.56,17.08,4.5,4.0,0.048,1.5,-1.0,0.054,3.1,5.0,0.066,2.5,3.3,0.012,2.6,5.6,8.2,8.7,-2.0,0.4,-1.8,-2.3,19.4,-2.8
2024,purdue,utah state,1,-7,0.061,2.6,-2.3,13.37,6.31,-0.1,0.1,-0.003,-1.8,-0.7,-0.036,1.7,0.8,0.071,1.2,1.7,0.0,2.7,1.9,4.6,2.2,-1.4,-0.6,0.3,-3.3,6.1,-1.4
2024,gonzaga,purdue,0,4,-0.098,2.2,0.1,-7.0,-7.58,3.6,3.5,0.03,4.8,4.4,0.056,-1.3,-0.9,-0.043,-3.7,-5.2,0.001,-1.4,-0.3,-1.7,-1.8,1.3,0.3,-1.5,1.9,1.6,-1.0
2024,purdue,tennessee,1,-1,0.129,3.5,1.6,3.12,1.18,1.2,-3.5,0.048,1.9,1.8,0.025,-0.6,-5.2,0.06,1.7,3.3,-0.031,0.6,1.1,1.7,1.8,-2.4,-1.0,1.1,-3.8,7.4,4.2
2024,purdue,nc state,1,-10,0.268,6.7,-2.8,12.12,2.67,1.2,-2.3,0.038,0.0,-2.3,0.031,1.2,0.0,0.059,3.1,4.7,-0.013,2.1,3.0,5.1,5.4,-1.8,0.0,1.7,-2.5,10.4,-3.4
2024,oakland,kentucky,1,11,-0.043,-12.6,-6.5,-14.77,-8.7,-5.2,-4.4,-0.049,-4.1,-5.1,-0.037,-1.1,0.7,-0.054,-1.3,-1.2,-0.021,0.5,-2.2,-1.7,-3.0,-0.9,-3.5,0.3,-2.4,-8.7,-0.9
2024,james madison,wisconsin,1,7,0.283,8.5,-0.4,-7.82,-15.1,3.4,5.2,0.015,2.0,1.9,0.024,1.4,3.3,0.011,0.4,2.0,-0.052,1.4,3.2,4.6,3.3,2.8,1.5,1.0,0.8,3.0,-8.8
2024,nc state,texas tech,1,5,-0.086,0.3,2.2,-2.15,-0.35,1.4,3.5,-0.001,3.0,6.9,-0.014,-1.5,-3.4,-0.014,-1.0,-0.1,-0.047,0.2,0.2,0.4,-1.6,1.2,1.1,-1.5,1.3,-2.6,0.2
2024,nc state,oakland,1,-3,-0.065,-0.8,-1.4,10.79,10.17,0.4,0.4,0.004,2.3,5.1,-0.008,-1.8,-4.7,-0.01,0.3,0.9,-0.018,-0.5,-0.1,-0.6,-1.4,0.6,0.8,-1.4,1.1,-1.4,-2.3
2024,nc state,marquette,1,9,-0.124,-2.5,2.0,-6.46,-2.09,-1.9,-0.4,-0.028,0.0,4.5,-0.064,-1.8,-4.9,-0.007,3.3,3.8,0.03,1.4,1.1,2.5,-2.8,-1.4,0.1,-0.4,1.2,-2.9,3.3
2024,nc state,duke,1,7,-0.139,-3.0,5.5,-7.86,0.57,-0.7,1.9,-0.025,0.7,3.7,-0.032,-1.3,-1.8,-0.032,-0.4,-0.7,0.01,-0.5,-0.8,-1.3,-2.2,0.7,-0.1,-0.1,0.3,-8.0,4.7
2024,colorado,florida,1,3,0.017,-6.3,-7.5,0.78,-0.45,-1.5,-8.0,0.037,-0.6,-3.0,0.022,-0.9,-5.1,0.046,-2.1,-5.0,0.069,-4.7,-0.6,-5.4,1.0,-0.7,-3.1,0.9,-3.6,-1.3,-3.6
2024,texas am,nebraska,1,1,-0.109,-1.7,1.1,-1.01,1.79,-1.1,4.7,-0.05,1.2,6.8,-0.06,-2.3,-2.2,-0.064,2.8,5.3,-0.053,7.8,-2.7,5.2,-3.9,0.6,0.4,-1.5,1.1,0.6,4.4
