seed,team,conference,wins,losses,year
1,North Carolina,ACC,25,5,1991
2,Syracuse,Big East,26,5,1991
3,Oklahoma State,Big Eight,22,7,1991
4,UCLA,Pac-10,23,8,1991
5,Mississippi State,SEC,20,8,1991
6,NC State,ACC,19,10,1991
7,Purdue,Big Ten,17,11,1991
8,Princeton,Ivy League,24,2,1991
9,Villanova,Big East,16,14,1991
10,Temple,Atlantic 10,21,9,1991
11,Southern Miss,Metro,21,7,1991
12,Eastern Michigan,MAC,24,6,1991
13,Penn State,Atlantic 10,20,10,1991
14,New Mexico,WAC,20,9,1991
15,Richmond,CAA,21,9,1991
16,Northeastern,NAC,22,10,1991
1,Ohio State,Big Ten,25,3,1991
2,Duke,ACC,26,7,1991
3,Nebraska,Big Eight,26,7,1991
4,St. John's,Big East,20,8,1991
5,Texas,SWC,22,8,1991
6,LSU,SEC,20,9,1991
7,Iowa,Big Ten,20,10,1991
8,Georgia Tech,ACC,16,12,1991
9,DePaul,Independent,20,8,1991
10,East Tennessee State,Southern,28,4,1991
11,Connecticut,Big East,18,10,1991
12,Saint Peter's,MAAC,24,6,1991
13,Northern Illinois,Mid-Continent,25,5,1991
14,Xavier,MCC,21,9,1991
15,Northeast Louisiana,Southland,25,7,1991
16,Towson State,East Coast,19,10,1991
1,Arkansas,SWC,31,3,1991
2,Indiana,Big Ten,27,4,1991
3,Kansas,Big Eight,22,7,1991
4,Alabama,SEC,21,9,1991
5,Wake Forest,ACC,18,10,1991
6,Pittsburgh,Big East,20,11,1991
7,Florida State,Metro,20,10,1991
8,Arizona State,Pac-10,19,9,1991
9,Rutgers,Atlantic 10,19,9,1991
10,USC,Pac-10,19,9,1991
11,Georgia,SEC,17,12,1991
12,Louisiana Tech,American South,21,9,1991
13,Murray State,Ohio Valley,24,8,1991
14,New Orleans,American South,23,7,1991
15,Coastal Carolina,Big South,24,7,1991
16,Georgia State,TAAC,16,14,1991
1,UNLV,Big West,30,0,1991
2,Arizona,Pac-10,26,6,1991
3,Seton Hall,Big East,22,8,1991
4,Utah,WAC,28,3,1991
5,Michigan State,Big Ten,18,10,1991
6,New Mexico State,Big West,23,5,1991
7,Virginia,ACC,21,11,1991
8,Georgetown,Big East,18,12,1991
9,Vanderbilt,SEC,17,12,1991
10,BYU,WAC,20,12,1991
11,Creighton,Missouri Valley,23,7,1991
12,Green Bay,Mid-Continent,24,6,1991
13,South Alabama,Sun Belt,22,8,1991
14,Pepperdine,West Coast,22,8,1991
15,Saint Francis (PA),NEC,24,7,1991
16,Montana,Big Sky,23,7,1991
1,Duke,ACC,28,2,1992
2,Kentucky,SEC,26,6,1992
3,UMass,Atlantic 10,28,4,1992
4,Seton Hall,Big East,21,8,1992
5,Missouri,Big Eight,20,8,1992
6,Syracuse,Big East,21,9,1992
7,UNC Charlotte,Metro,23,8,1992
8,Texas,SWC,23,11,1992
9,Iowa,Big Ten,18,10,1992
10,Iowa State,Big Eight,20,12,1992
11,Princeton,Ivy League,22,5,1992
12,West Virginia,Atlantic 10,20,11,1992
13,La Salle,MAAC,20,10,1992
14,Fordham,Patriot,18,12,1992
15,Old Dominion,CAA,15,14,1992
16,Campbell,Big South,19,11,1992
1,Kansas,Big Eight,26,4,1992
2,USC,Pac-10,23,5,1992
3,Arkansas,SEC,25,7,1992
4,Cincinnati,Great Midwest,25,4,1992
5,Michigan State,Big Ten,21,7,1992
6,Memphis State,Great Midwest,20,10,1992
7,Georgia Tech,ACC,21,11,1992
8,Evansville,MCC,24,5,1992
9,UTEP,WAC,25,6,1992
10,Houston,SWC,25,5,1992
11,Pepperdine,West Coast,24,6,1992
12,Southwest Missouri State,Missouri Valley,23,7,1992
13,Delaware,NAC,27,3,1992
