unique_ncaa_team,lower_ncaa_team
Abilene Christian,abilene-christian
Air Force,air-force
Akron,akron
Alabama,alabama
Alabama State,alabama-state
Albany,albany-ny
Alcorn State,alcorn-state
American,american
Appalachian State,appalachian-state
Arizona,arizona
Arizona State,arizona-state
Arkansas,arkansas
Arkansas State,arkansas-state
Arkansas–Pine Bluff,arkansas-pine-bluff
Auburn,auburn
Austin Peay,austin-peay
BYU,brigham-young
Ball State,ball-state
Baylor,baylor
Belmont,belmont
Binghamton,binghamton
Boise State,boise-state
Boston College,boston-college
Boston University,boston-university
Bradley,bradley
Brigham Young,brigham-young
Bucknell,bucknell
Buffalo,buffalo
Butler,butler
Cal Poly,cal-poly
Cal State Bakersfield,cal-state-bakersfield
Cal State Fullerton,cal-state-fullerton
Cal State Northridge,cal-state-northridge
California,california
Campbell,campbell
Canisius,canisius
Central Connecticut,central-connecticut-state
Central Connecticut State,central-connecticut-state
Central Florida,central-florida
Central Michigan,central-michigan
Charleston,college-of-charleston
Charleston Southern,charleston-southern
Charlotte,charlotte
Chattanooga,chattanooga
Cincinnati,cincinnati
Clemson,clemson
Cleveland State,cleveland-state
Coastal Carolina,coastal-carolina
Colgate,colgate
College of Charleston,college-of-charleston
Colorado,colorado
Colorado State,colorado-state
Connecticut,connecticut
Coppin State,coppin-state
Cornell,cornell
Creighton,creighton
Davidson,davidson
Dayton,dayton
DePaul,depaul
Delaware,delaware
Delaware State,delaware-state
Detroit,detroit-mercy
Detroit Mercy,detroit-mercy
Drake,drake
Drexel,drexel
Duke,duke
Duquesne,duquesne
East Carolina,east-carolina
East Tennessee State,east-tennessee-state
Eastern Illinois,eastern-illinois
Eastern Kentucky,eastern-kentucky
Eastern Michigan,eastern-michigan
Eastern Washington,eastern-washington
Evansville,evansville
FIU,florida-international
Fairfield,fairfield
Fairleigh Dickinson,fairleigh-dickinson
Florida,florida
Florida A&M,florida-am
Florida Atlantic,florida-atlantic
Florida Gulf Coast,florida-gulf-coast
Florida State,florida-state
Fordham,fordham
Fresno State,fresno-state
Furman,furman
Gardner–Webb,gardner-webb
George Mason,george-mason
George Washington,george-washington
Georgetown,georgetown
Georgia,georgia
Georgia Southern,georgia-southern
Georgia State,georgia-state
Georgia Tech,georgia-tech
Gonzaga,gonzaga
Grand Canyon,grand-canyon
Green Bay,green-bay
Hampton,hampton
Hartford,hartford
Harvard,harvard
Hawaii,hawaii
Hofstra,hofstra
Holy Cross,holy-cross
Houston,houston
Howard,howard
IUPUI,iupui
Illinois,illinois
Illinois State,illinois-state
Illinois–Chicago,illinois-chicago
Indiana,indiana
Indiana State,indiana-state
Iona,iona
Iowa,iowa
Iowa State,iowa-state
Jackson State,jackson-state
Jacksonville State,jacksonville-state
James Madison,james-madison
Kansas,kansas
Kansas State,kansas-state
Kennesaw State,kennesaw-state
Kent State,kent-state
Kentucky,kentucky
LIU Brooklyn,long-island-university
LIU-Brooklyn,long-island-university
LSU,louisiana-state
La Salle,la-salle
Lafayette,lafayette
Lamar,lamar
Lehigh,lehigh
Liberty,liberty
Lipscomb,lipscomb
Little Rock,arkansas-little-rock
Long Beach State,long-beach-state
Long Island,long-island-university
Longwood,longwood
Louisiana,louisiana-lafayette
Louisiana Tech,louisiana-tech
Louisiana-Lafayette,louisiana-lafayette
Louisiana–Lafayette,louisiana-lafayette
Louisville,louisville
Loyola,loyola-md
Loyola (MD),loyola-md
Loyola Chicago,loyola-il
Loyola–Chicago,loyola-il
Manhattan,manhattan
Marquette,marquette
Marshall,marshall
Maryland,maryland
Massachusetts,massachusetts
McNeese,mcneese-state
McNeese State,mcneese-state
Memphis,memphis
Memphis State,memphis
Mercer,mercer
Miami,miami-fl
Miami (FL),miami-fl
Miami (OH),miami-oh
Miami (Ohio),miami-oh
Michigan,michigan
Michigan State,michigan-state
Middle Tennessee,middle-tennessee
Milwaukee,milwaukee
Minnesota,minnesota
Mississippi,mississippi
Mississippi State,mississippi-state
Mississippi Valley State,mississippi-valley-state
Missouri,missouri
Monmouth,monmouth
Montana,montana
Montana State,montana-state
Morehead State,morehead-state
Morgan State,morgan-state
Mount St. Mary's,mount-st-marys
Murray State,murray-state
NC State,north-carolina-state
Navy,navy
Nebraska,nebraska
Nevada,nevada
New Mexico,new-mexico
New Mexico State,new-mexico-state
New Orleans,new-orleans
Niagara,niagara
Nicholls State,nicholls-state
Norfolk State,norfolk-state
